MSN,YYYYMM,Value,Column_Order,Description,Unit
ELEGPUS,194913,291,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,195013,329,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,195113,371,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,195213,399,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,195313,443,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,195413,472,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,195513,547,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,195613,601,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,195713,632,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,195813,645,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,195913,710,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,196013,756,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,196113,794,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,196213,855,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,196313,917,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,196413,984,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,196513,1055,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,196613,1144,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,196713,1214,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,196813,1329,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,196913,1442,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197013,1532,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197113,1613,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197213,1750,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197301,160,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197302,143,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197303,148,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197304,139,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197305,147,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197306,161,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197307,173,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197308,177,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197309,157,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197310,154,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197311,148,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197312,153,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197313,1861,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197401,157,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197402,142,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197403,150,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197404,142,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197405,154,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197406,156,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197407,178,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197408,174,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197409,152,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197410,152,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197411,150,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197412,160,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197413,1867,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197501,164,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197502,147,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197503,155,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197504,146,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197505,153,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197506,162,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197507,177,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197508,180,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197509,155,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197510,155,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197511,153,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197512,169,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197513,1918,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197601,178,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197602,157,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197603,164,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197604,153,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197605,157,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197606,173,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197607,186,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197608,186,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197609,165,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197610,164,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197611,169,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197612,184,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197613,2038,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197701,196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197702,163,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197703,169,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197704,157,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197705,169,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197706,181,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197707,199,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197708,196,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197709,176,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197710,166,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197711,167,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197712,184,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,197713,2124,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
