Year,Total
1949,4415007 
1950,4748679 
1951,5133928 
1952,5399721 
1953,5786861 
1954,5835424 
1955,6499619 
1956,6979048 
1957,7266555 
1958,7235099 
1959,7831298 
1960,8196737 
1961,8487397 
1962,9063518 
1963,9658809 
1964,10347148 
1965,11044986 
1966,12015789 
1967,12730451 
1968,13917025 
1969,15201472 
1970,16287380 
1971,17151540 
1972,18484382 
1973,19765406 
1974,19938443 
1975,20302559 
1976,21506135 
1977,22583231 
1978,23584677 
1979,23977292 
1980,24334606 
1981,24494929 
1982,24042155 
1983,24672641 
1984,25689687 
1985,26089875 
1986,26280337 
1987,27039678 
1988,28276159 
1989,30975709 
1990,31787701 
1991,32160248 
1992,32090536 
1993,33202865 
1994,33803057 
1995,34900988 
1996,35970632 
1997,36292777 
1998,37607340 
1999,38361742 
2000,39433430 
2001,38672033 
2002,39609541 
2003,39559105 
2004,39590547 
2005,40430104 
2006,40267618 
2007,41192733 
2008,40746536 
2009,38808093 
2010,40484954 
2011,40165766 
